time(ms),power(W)
1746237120000,4076798
1746237240000,4051102
1746237360000,4092279
1746237480000,3941032
1746237600000,3918463
1746237720000,4097106
1746237840000,3956051
1746237960000,3938369
1746238080000,3992991
1746238200000,2618133
1746238320000,3831456
1746238440000,3860606
1746238560000,3920503
1746238680000,3892046
1746238800000,2279652
1746238920000,3232670
1746239040000,2325195
1746239160000,3221916
1746239280000,4212991
1746239400000,4097689
1746239520000,3078216
1746239640000,3973702
1746239760000,3944156
1746239880000,3954593
1746240000000,3923507
1746240120000,2151180
1746240240000,3745359
1746240360000,3975809
1746240480000,2568381
1746240600000,3976019
1746240720000,4021031
1746240840000,3935165
1746240960000,4012551
1746241080000,3092112
1746241200000,3169770
1746241320000,3054505
1746241440000,3919572
1746241560000,2929718
1746241680000,3080465
1746241800000,4016076
1746241920000,3835414
1746242040000,3959242
1746242160000,3858566
1746242280000,3929363
1746242400000,3879546
1746242520000,2873531
1746242640000,3656225
1746242760000,2810903
1746242880000,3448230
1746243000000,3545760
1746243120000,3782130
1746243240000,3761739
1746243360000,3723026
1746243480000,3644874
1746243600000,3705759
1746243720000,2886853
1746243840000,3562904
1746243960000,2441036
1746244080000,3471926
1746244200000,3580841
1746244320000,3638844
1746244440000,2784241
1746244560000,2450706
1746244680000,3549515
1746244800000,3572048
1746244920000,3602256
1746245040000,3601030
1746245160000,2526744
1746245280000,3335259
1746245400000,2527082
1746245520000,3391868
1746245640000,2607967
1746245760000,2548637
1746245880000,3540793
1746246000000,3492542
1746246120000,3776744
1746246240000,2639327
1746246360000,3897859
1746246480000,3783571
1746246600000,2608656
1746246720000,3841954
1746246840000,3910722
1746246960000,3987548
1746247080000,2240136
1746247200000,3932866
1746247320000,3907841
1746247440000,3856555
1746247560000,2977750
1746247680000,3715181
1746247800000,3718547
1746247920000,3730499
1746248040000,3695819
1746248160000,3760376
1746248280000,3668268
1746248400000,3720598
1746248520000,3604366
1746248640000,3650171
1746248760000,3656971
1746248880000,3695327
1746249000000,3636883
1746249120000,3865387
1746249240000,3083497
1746249360000,3839254
1746249480000,3902329
1746249600000,3076221
1746249720000,3826190
1746249840000,3856993
